City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Jamestown,US,42.097,-79.2353,20.79,61,100,25.32,overcast clouds
80,Hithadhoo,MV,-0.6,73.0833,82.13,75,8,7.07,clear sky
81,Mbini,GQ,1.574,9.6134,78.64,81,100,2.66,moderate rain
82,Visby,SE,57.6409,18.296,32.22,74,12,6.91,few clouds
83,Guerrero Negro,MX,27.9769,-114.0611,72.52,20,0,7.58,clear sky
84,Qaanaaq,GL,77.484,-69.3632,-12.53,73,5,3.56,clear sky
85,Tongchuan,CN,35.0806,109.0897,56.8,57,0,0.74,clear sky
86,Puerto Ayora,EC,-0.7393,-90.3518,87.76,93,33,5.01,moderate rain
87,Georgetown,MY,5.4112,100.3354,82.33,92,20,3.44,few clouds
88,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,78,20,8.05,few clouds
89,Port Elizabeth,ZA,-33.918,25.5701,83.1,79,3,7.9,clear sky
90,Fortuna,US,40.5982,-124.1573,63.93,34,20,18.41,few clouds
91,Manado,ID,1.487,124.8455,75.97,100,20,1.14,few clouds
92,Yerbogachen,RU,61.2767,108.0108,-19.93,100,100,1.07,overcast clouds
93,Lasa,IT,46.6166,10.7002,36.48,98,82,3.18,broken clouds
94,Ribeira Grande,PT,38.5167,-28.7,59.4,63,20,4.61,few clouds
95,Vila Velha,BR,-20.3297,-40.2925,85.95,74,0,18.41,clear sky
96,Gornopravdinsk,RU,60.05,69.9,-6.65,100,98,4.99,overcast clouds
97,Thompson,CA,55.7435,-97.8558,10.56,40,75,4.61,broken clouds
98,Abu Dhabi,AE,24.4667,54.3667,82.51,29,0,4.61,clear sky
99,Port Alfred,ZA,-33.5906,26.891,82.06,66,93,19.13,overcast clouds
100,Sao Felix Do Xingu,BR,-6.6447,-51.995,85.82,62,27,1.83,scattered clouds
101,Clyde River,CA,70.4692,-68.5914,-19.97,69,20,0.0,few clouds
102,Hami,CN,42.8,93.45,50.61,42,100,12.12,overcast clouds
103,Huarmey,PE,-10.0681,-78.1522,77.67,72,82,9.19,broken clouds
104,Gorontalo,ID,0.5412,123.0595,76.24,96,100,3.38,overcast clouds
105,Hamilton,US,39.1834,-84.5333,27.09,54,100,23.02,overcast clouds
106,Berdigestyakh,RU,62.0989,126.6992,-19.73,100,99,1.43,overcast clouds
107,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,72,20,11.61,few clouds
108,Caravelas,BR,-17.7125,-39.2481,84.04,63,4,8.84,clear sky
109,Butaritari,KI,3.0707,172.7902,80.8,78,9,20.38,light rain
110,Sinnamary,GF,5.3833,-52.95,78.6,88,70,12.17,broken clouds
111,Sampit,ID,-2.5333,112.95,74.44,98,89,2.01,moderate rain
112,Alta Floresta,BR,-9.8756,-56.0861,82.22,78,40,9.22,thunderstorm
