City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
162,Singaparna,ID,73.29,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
164,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
166,Namatanai,PG,78.19,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
167,De Aar,ZA,72.07,light rain,-30.6497,24.0123,Nyibiba Guesthouse
170,Prachuap Khiri Khan,TH,72.73,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
172,Tuy Hoa,VN,70.45,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
174,Onverwacht,SR,84.85,broken clouds,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
178,Nieves,PH,73.9,overcast clouds,15.3274,120.9485,Bill's Inn
179,Tucurui,BR,82.69,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
182,Tual,ID,82.9,broken clouds,-5.6667,132.75,Grand Vilia Hotel
183,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
184,Tessalit,ML,77.5,clear sky,20.1986,1.0114,
186,Ribeira Do Pombal,BR,89.29,overcast clouds,-10.8344,-38.5358,Pousada Central
187,Antalaha,MG,74.12,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
188,Gbarnga,LR,78.17,light rain,6.9956,-9.4722,Passion Hotel 2
189,Akyab,MM,74.19,overcast clouds,20.15,92.9,Hotel Memory
190,Berbera,SO,77.13,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
191,Samarai,PG,82.11,overcast clouds,-10.6167,150.6667,Nuli Sapi
192,Alyangula,AU,78.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
195,Sulangan,PH,81.09,overcast clouds,11.1373,123.7228,Maia's Beach Resort
196,Bubaque,GW,76.06,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
197,Tambopata,PE,73.29,broken clouds,-12.7333,-69.1833,
