City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,Nanortalik,60.1432,-45.2371,7.63,72,0,8.43,GL,2022-03-11 03:21:39
274,Bethel,41.3712,-73.414,35.65,83,0,4.61,US,2022-03-11 03:21:39
275,Dire,12.2833,-10.9667,79.38,16,5,0.22,ML,2022-03-11 03:22:39
276,Basco,20.4487,121.9702,73.76,86,92,17.67,PH,2022-03-11 03:22:40
277,Mackenzie,55.2999,-123.1698,30.42,47,100,5.75,CA,2022-03-11 03:22:40
278,Fortuna,40.5982,-124.1573,48.65,79,0,6.91,US,2022-03-11 03:22:41
279,Ailigandi,9.2333,-78.0167,78.26,88,3,7.14,PA,2022-03-11 03:22:42
280,Belawan,3.7755,98.6832,86.29,72,20,5.12,ID,2022-03-11 03:22:42
281,Alexandria,31.2156,29.9553,53.33,59,93,23.4,EG,2022-03-11 03:22:43
282,Hovd,48.0056,91.6419,28.18,49,0,9.86,MN,2022-03-11 03:22:43
283,Sao Sebastiao,-23.76,-45.4097,76.84,80,7,4.59,BR,2022-03-11 03:22:43
284,Mahon,39.8885,4.2658,50.56,87,40,5.75,ES,2022-03-11 03:22:44
285,Puro,12.4841,123.3827,84.16,71,77,10.27,PH,2022-03-11 03:22:44
286,Ninotsminda,41.2646,43.5916,21.43,94,100,5.5,GE,2022-03-11 03:22:45
287,Carnarvon,-24.8667,113.6333,87.87,62,0,12.66,AU,2022-03-11 03:22:45
288,Leopold,-38.1833,144.4667,70.05,54,100,12.66,AU,2022-03-11 03:22:46
289,Kuytun,54.3419,101.5036,10.98,90,100,6.44,RU,2022-03-11 03:22:46
290,Maragogi,-9.0122,-35.2225,78.53,74,53,7.99,BR,2022-03-11 03:18:14
291,Vila Franca Do Campo,37.7167,-25.4333,57.61,67,100,12.26,PT,2022-03-11 03:22:47
292,Nevsehir,38.9167,34.6667,24.01,80,100,29.93,TR,2022-03-11 03:21:43
293,East London,-33.0153,27.9116,67.14,100,0,3.44,ZA,2022-03-11 03:21:32
294,La Paz,-16.5,-68.15,48.18,100,75,5.75,BO,2022-03-11 03:21:55
295,Brodokalmak,55.5748,62.082,-6.7,100,99,5.82,RU,2022-03-11 03:22:48
296,Los Llanos De Aridane,28.6585,-17.9182,56.95,80,0,7.0,ES,2022-03-11 03:20:27
297,Viransehir,37.2353,39.7631,41.76,93,98,13.8,TR,2022-03-11 03:22:49
298,Coos Bay,43.3665,-124.2179,46.38,89,0,10.36,US,2022-03-11 03:19:57
299,Calvinia,-31.4707,19.776,74.43,38,96,4.14,ZA,2022-03-11 03:22:49
300,Sitka,57.0531,-135.33,42.69,70,100,16.11,US,2022-03-11 03:22:50
301,Chabahar,25.2919,60.643,73.76,82,0,6.11,IR,2022-03-11 03:22:50
302,Jieshi,22.8134,115.8257,75.94,65,1,4.97,CN,2022-03-11 03:22:51
303,Lasa,46.6166,10.7002,31.03,92,71,1.86,IT,2022-03-11 03:22:51
304,Pauini,-7.7136,-66.9764,73.36,98,95,1.88,BR,2022-03-11 03:22:52
305,Curillo,1.0333,-75.9191,73.0,93,89,2.3,CO,2022-03-11 03:22:52
306,Redding,40.5865,-122.3917,60.57,25,0,6.91,US,2022-03-11 03:21:06
307,Ilam,26.9167,87.9167,72.79,31,0,2.82,NP,2022-03-11 03:22:53
308,Angoche,-16.2325,39.9086,78.64,95,100,35.14,MZ,2022-03-11 03:22:53
309,Yulara,-25.2406,130.9889,89.44,13,27,11.5,AU,2022-03-11 03:22:54
310,Surt,31.2089,16.5887,53.35,58,96,3.33,LY,2022-03-11 03:22:54
311,Cesenatico,44.1999,12.3991,48.16,74,0,8.05,IT,2022-03-11 03:22:55
312,West Lorne,42.6001,-81.5998,32.68,72,97,2.33,CA,2022-03-11 03:22:55
313,Geraldton,-28.7667,114.6,88.21,40,2,9.22,AU,2022-03-11 03:22:56
314,Suileng,47.25,127.0833,30.43,69,64,16.46,CN,2022-03-11 03:22:56
315,Ruston,32.5232,-92.6379,53.42,62,0,5.75,US,2022-03-11 03:22:57
316,Port Macquarie,-31.4333,152.9167,71.89,61,85,7.74,AU,2022-03-11 03:22:58
317,Nautla,20.2167,-96.7833,69.22,90,15,6.51,MX,2022-03-11 03:22:58
318,Abha,18.2164,42.5053,62.85,15,0,12.66,SA,2022-03-11 03:22:59
319,Wanning,18.8003,110.3967,76.71,72,83,9.06,CN,2022-03-11 03:23:59
320,Krasnoselkup,65.7,82.4667,-2.81,97,96,3.85,RU,2022-03-11 03:24:00
321,Ziarat,30.3823,67.7282,49.86,45,0,4.21,PK,2022-03-11 03:24:00
322,Shaoyang,27.2315,111.4525,73.85,60,0,5.61,CN,2022-03-11 03:24:01
323,Phan Thiet,10.9333,108.1,86.72,49,38,4.54,VN,2022-03-11 03:24:01
324,Amazar,53.858,120.875,19.6,57,76,9.64,RU,2022-03-11 03:24:02
325,Faya,18.3851,42.4509,63.12,57,100,4.16,SA,2022-03-11 03:24:02
326,Hirara,24.8,125.2833,75.47,46,20,11.5,JP,2022-03-11 03:24:03
327,Cabra,37.4725,-4.4421,47.66,80,34,3.96,ES,2022-03-11 03:20:25
328,Huai Mek,16.5898,103.2355,85.62,99,10,5.82,TH,2022-03-11 03:24:04
329,Avera,33.194,-82.5271,53.11,84,100,7.78,US,2022-03-11 03:24:04
330,Narsaq,60.9167,-46.05,3.42,79,1,4.92,GL,2022-03-11 03:24:05
331,Broken Hill,-31.95,141.4333,76.5,22,11,13.89,AU,2022-03-11 03:19:17
332,Sao Jose Da Coroa Grande,-8.8978,-35.1478,78.57,74,54,8.01,BR,2022-03-11 03:24:06
333,Kirakira,-10.4544,161.9205,83.89,76,75,2.77,SB,2022-03-11 03:24:06
334,Juxtlahuaca,17.4294,-99.1467,65.19,70,0,3.06,MX,2022-03-11 03:24:07
335,Pangody,65.85,74.4859,-12.64,99,95,8.19,RU,2022-03-11 03:24:07
336,Balykshi,47.0667,51.8667,30.2,100,100,15.66,KZ,2022-03-11 03:24:08
337,Coihaique,-45.5752,-72.0662,48.81,98,55,4.03,CL,2022-03-11 03:24:09
338,Dan Khun Thot,15.2085,101.7714,91.67,38,9,7.65,TH,2022-03-11 03:24:09
339,Bogande,12.9714,-0.1436,81.57,8,18,9.44,BF,2022-03-11 03:24:10
340,Bhinmal,25.0,72.25,78.75,27,0,7.34,IN,2022-03-11 03:24:10
341,Longyearbyen,78.2186,15.6401,19.24,79,40,13.8,SJ,2022-03-11 03:24:11
342,Ilo,-17.6394,-71.3375,71.11,88,62,5.06,PE,2022-03-11 03:24:11
343,Marfino,55.7028,37.3822,12.45,56,0,4.47,RU,2022-03-11 03:24:12
344,Lahij,13.1667,44.5833,65.93,84,96,5.08,YE,2022-03-11 03:24:12
345,Odweyne,9.4092,45.064,63.64,54,100,7.65,SO,2022-03-11 03:24:13
346,Kishi,9.0833,3.85,79.9,73,91,5.82,NG,2022-03-11 03:24:13
347,Piacabucu,-10.4056,-36.4344,78.04,80,49,7.34,BR,2022-03-11 03:24:13
348,Derzhavinsk,51.1,66.3167,6.42,92,100,17.87,KZ,2022-03-11 03:24:14
349,Zhigansk,66.7697,123.3711,-7.01,87,94,2.59,RU,2022-03-11 03:24:14
350,Baruun-Urt,46.6806,113.2792,34.59,33,24,9.42,MN,2022-03-11 03:24:15
351,Diego De Almagro,-26.3667,-70.05,64.53,52,0,0.94,CL,2022-03-11 03:24:16
352,Qasigiannguit,68.8193,-51.1922,3.45,95,100,4.61,GL,2022-03-11 03:24:16
353,Ames,42.0347,-93.6199,22.44,69,0,10.36,US,2022-03-11 03:21:01
354,Verkhoyansk,67.5447,133.385,1.53,86,100,4.47,RU,2022-03-11 03:24:17
355,Olafsvik,64.8945,-23.7142,40.03,94,100,18.48,IS,2022-03-11 03:24:17
356,Alice Springs,-23.7,133.8833,85.55,16,0,8.05,AU,2022-03-11 03:24:18
357,Leh,34.1667,77.5833,10.69,70,8,2.37,IN,2022-03-11 03:24:19
358,College,64.8569,-147.8028,17.55,60,75,14.97,US,2022-03-11 03:22:44
359,Vao,-22.6667,167.4833,78.69,78,3,7.16,NC,2022-03-11 03:24:19
360,Turukhansk,65.8167,87.9833,-16.67,95,100,2.21,RU,2022-03-11 03:24:20
361,Thinadhoo,0.5333,72.9333,82.04,61,9,1.63,MV,2022-03-11 03:24:20
362,Sungaipenuh,-2.0833,101.3833,76.96,67,80,3.33,ID,2022-03-11 03:24:20
363,Varhaug,58.6147,5.6457,42.89,74,100,28.88,NO,2022-03-11 03:24:21
364,Kruisfontein,-34.0033,24.7314,63.14,95,0,5.39,ZA,2022-03-11 03:25:21
365,Amapa,1.0,-52.0,71.15,99,100,1.68,BR,2022-03-11 03:25:22
366,Puerto Madryn,-42.7692,-65.0385,57.56,65,1,4.36,AR,2022-03-11 03:20:54
367,Szekkutas,46.5,20.5333,19.99,49,0,12.86,HU,2022-03-11 03:25:23
368,Mehtar Lam,34.6714,70.2094,61.65,32,38,4.92,AF,2022-03-11 03:25:23
369,Grindavik,63.8424,-22.4338,45.07,93,75,19.57,IS,2022-03-11 03:25:23
370,Peniche,39.3558,-9.3811,55.11,94,100,15.57,PT,2022-03-11 03:25:24
371,Kushima,31.4583,131.2333,65.1,51,100,7.81,JP,2022-03-11 03:25:24
372,Kovur,14.4833,79.9833,78.49,64,1,2.89,IN,2022-03-11 03:25:25
373,Kigoma,-4.8769,29.6267,73.72,82,100,3.18,TZ,2022-03-11 03:25:25
374,Cam Ranh,11.9214,109.1591,82.36,57,20,12.66,VN,2022-03-11 03:25:26
375,Blackwater,-23.5833,148.8833,87.64,52,65,9.62,AU,2022-03-11 03:25:26
376,Chernyshevskiy,63.0128,112.4714,-2.61,82,90,5.37,RU,2022-03-11 03:25:27
377,Maues,-3.3836,-57.7186,71.98,96,96,1.9,BR,2022-03-11 03:25:27
378,Ocos,14.5094,-92.1933,78.98,68,44,7.29,GT,2022-03-11 03:25:28
379,Berlevag,70.8578,29.0864,38.86,85,100,32.7,NO,2022-03-11 03:25:28
380,Vanimo,-2.6741,141.3028,85.48,65,100,4.74,PG,2022-03-11 03:25:28
381,Talaya,61.3833,152.75,13.89,83,100,1.23,RU,2022-03-11 03:25:29
382,Aklavik,68.2191,-135.0107,-19.46,100,96,3.22,CA,2022-03-11 03:25:29
383,Hami,42.8,93.45,50.92,35,4,8.57,CN,2022-03-11 03:25:30
384,Katherine,-14.4667,132.2667,95.32,46,40,5.75,AU,2022-03-11 03:25:31
385,Mangai,-4.05,19.5333,69.4,99,100,1.07,CD,2022-03-11 03:25:31
386,Vieques,18.425,-65.8329,77.09,83,20,6.91,PR,2022-03-11 03:25:32
387,Raudeberg,61.9875,5.1352,47.86,41,6,16.87,NO,2022-03-11 03:25:32
388,Altay,47.8667,88.1167,27.18,89,54,0.81,CN,2022-03-11 03:25:33
389,Charters Towers,-20.1,146.2667,94.24,40,85,5.23,AU,2022-03-11 03:25:33
390,Ilulissat,69.2167,-51.1,3.22,72,100,16.11,GL,2022-03-11 03:25:34
391,Dabat,12.9842,37.765,57.7,36,90,4.05,ET,2022-03-11 03:25:34
392,Saint-Francois,46.4154,3.9054,47.68,66,0,9.22,FR,2022-03-11 03:25:35
393,Ouallam,14.3188,2.0866,80.17,10,34,9.66,NE,2022-03-11 03:25:35
394,Port-Gentil,-0.7193,8.7815,81.64,80,100,9.82,GA,2022-03-11 03:25:36
395,Lahat,-3.8,103.5333,80.94,82,99,1.9,ID,2022-03-11 03:25:36
396,Mustasaari,63.1142,21.6822,32.9,93,0,9.22,FI,2022-03-11 03:25:36
397,Gat,31.61,34.7642,50.68,100,98,20.74,IL,2022-03-11 03:25:37
398,Coracora,-15.0333,-73.7833,49.01,92,100,1.9,PE,2022-03-11 03:25:37
399,Toora-Khem,52.4675,96.11,17.8,89,100,4.76,RU,2022-03-11 03:25:38
400,Pita,10.8333,-12.5833,73.98,38,21,1.81,GN,2022-03-11 03:25:39
401,Shambu,9.5667,37.1,59.11,43,94,0.34,ET,2022-03-11 03:25:39
402,Sao Filipe,14.8961,-24.4956,70.75,72,2,13.78,CV,2022-03-11 03:25:40
403,Cao Bang,22.6667,106.25,71.26,78,96,3.62,VN,2022-03-11 03:25:40
404,Luau,-10.7073,22.2247,65.44,96,100,1.41,AO,2022-03-11 03:25:41
405,Lixourion,38.2019,20.4314,41.88,61,81,8.25,GR,2022-03-11 03:25:41
406,Huilong,31.8111,121.655,64.83,63,68,3.02,CN,2022-03-11 03:25:42
407,Itarema,-2.9248,-39.9167,77.54,86,98,6.87,BR,2022-03-11 03:25:42
408,Kalaleh,37.3807,55.4916,46.0,93,100,0.0,IR,2022-03-11 03:25:43
409,Rio Bonito,-22.7086,-42.6097,71.74,90,0,3.69,BR,2022-03-11 03:24:11
410,Konstantinovsk,47.5828,41.0922,24.1,74,54,9.73,RU,2022-03-11 03:26:43
411,Karatuzskoye,53.6072,92.8667,9.77,88,100,2.44,RU,2022-03-11 03:26:13
412,Fuerte Olimpo,-21.0415,-57.8738,76.6,74,74,3.91,PY,2022-03-11 03:24:15
